transport
ar           0   136.500   3.330   0.0   0.0    0.0 
he           0    10.200   2.576   0.0   0.0    0.0 
h            0   145.000   2.050   0.0   0.0    0.0
h2           1    38.000   2.920   0.0   0.79 280.0
o            0    80.000   2.750   0.0   0.0    0.0
o2           1   107.400   3.458   0.0   1.6    3.8
oh           1    80.000   2.750   0.0   0.0    0.0
h2o          2   572.400   2.605   1.844 0.0    4.0
n2           1   97.5300   3.621   0.0   1.76   4.0
ho2          2   107.400   3.458   0.0   0.0    1.0
h2o2         2   107.400   3.458   0.0   0.0    3.8
co           1    98.100   3.650   0.0   1.95   1.8
co2          1   244.000   3.763   0.0   2.65   2.1
ch2o         2   498.000   3.590   0.0   0.0    2.0
hco          2   498.000   3.590   0.0   0.0    0.0
ch3oh        2   481.800   3.626   0.0   0.0    1.0
ch2oh        2   417.000   3.690   1.7   0.0    2.0
ch3o         2   417.000   3.690   1.7   0.0    2.0
ch3o2        2   481.800   3.626   0.0   0.0    1.0
ch4          2   141.400   3.746   0.0   2.6   13.0
ch3          1   144.000   3.800   0.0   0.0    0.0
ch2          1   144.000   3.800   0.0   0.0    0.0
ch2(s)       1   144.000   3.800   0.0   0.0    0.0
c2h6         2   247.500   4.350   0.0   0.0    1.5
c2h5         2   247.500   4.350   0.0   0.0    1.5
c2h4         2   238.400   3.496   0.0   0.0    1.5
c2h3         2   265.300   3.721   0.0   0.0    1.0
c2h2         1   265.300   3.721   0.0   0.0    2.5
c2h5o2       2   470.600   4.410   0.0   0.0    1.5
ch2cho       2   436.000   3.970   0.0   0.0    2.0
ch2co        2   436.000   3.970   0.0   0.0    2.0
hcco         2   150.000   2.500   0.0   0.0    1.0
nc3h7        2   303.400   4.810   0.0   0.0    1.0
c3h6         2   307.800   4.140   0.0   0.0    1.0
c3h5-a       2   316.000   4.220   0.0   0.0    1.0
c3h4-a       1   324.800   4.290   0.0   0.0    1.0
c3h5o        2   411.000   4.820   0.0   0.0    1.0
nc3h7o2      2   481.500   4.997   1.7   0.0    1.0
c2h3cho      2   428.800   4.958   2.9   0.0    1.0 
nc5h12       2   391.700   5.591   0.0   0.0    1.0
c5h11        2   523.200   5.664   1.7   0.0    1.0
c5h11o2      2   523.200   5.664   1.7   0.0    1.0
c5h10ooh     2   523.200   5.664   1.7   0.0    1.0
c5h10        2   396.800   5.458   0.0   0.0    1.0
c5h10ooho2   2   523.200   5.664   1.7   0.0    1.0
nc5ket       2   494.800   6.174   1.8   0.0    1.0
c5h10o       2   523.200   5.664   1.7   0.0    1.0
ch3cho       2   436.000   3.970   0.0   0.0    2.0
nc6h14       2   427.400   5.946   0.0   0.0    1.0 
c6h13        2   489.224   5.349   0.0   0.0    0.0    
c6h13o2      2   588.653   5.943   0.0   0.0    0.0    
c6h12        2   485.880  10.310   0.0   0.0    1.0
c6h12ooh     2   588.653   5.943   0.0   0.0    0.0	
c6h12ooho2   2   677.149   6.436   0.0   0.0    0.0	
nc6ket       2   541.500   5.674   1.8   0.0    1.0	
c6h12o       2   537.467   5.643   0.0   0.0    0.0     
